patient nos
Date,Total,,,,,,,,,,,,,,,
11/06/2007,40,,,,,,,,,,,,,,,
18/06/2007,34,,,,,,,,,,,,,,,
25/06/2007,40,,,,,,,,,,,,,,,
02/07/2007,40,,,,,,,,,,,,,,,
09/07/2007,36,,,,,,,,,,,,,,,
16/07/2007,34,,,,,,,,,,,,,,,
23/07/2007,36,,,,,,,,,,,,,,,
30/07/2007,50,,,,,,,,,,,,,,,
06/08/2007,30,,,,,,,,,,,,,,,
13/08/2007,39,,,,,,,,,,,,,,,
20/08/2007,43,,,,,,,,,,,,,,,
27/08/2007,42,,,,,,,,,,,,,,,
03/09/2007,41,,,,,,,,,,,,,,,
10/09/2007,48,,,,,,,,,,,,,,,
17/09/2007,51,,,,,,,,,,,,,,,
24/09/2007,52,,,,,,,,,,,,,,,
01/10/2007,44,,,,,,,,,,,,,,,
08/10/2007,44,,,,,,,,,,,,,,,
15/10/2007,39,,,,,,,,,,,,,,,
22/10/2007,38,,,,,,,,,,,,,,,
29/10/2007,42,,,,,,,,,,,,,,,
05/11/2007,51,,,,,,,,,,,,,,,
12/11/2007,38,,,,,,,,,,,,,,,
19/11/2007,33,,,,,,,,,,,,,,,
26/11/2007,41,,,,,,,,,,,,,,,
03/12/2007,34,,,,,,,,,,,,,,,
10/12/2007,50,,,,,,,,,,,,,,,
17/12/2007,48,,,,,,,,,,,,,,,
24/12/2007,18,,,,,,,,,,,,,,,
31/12/2007,24,,,,,,,,,,,,,,,
07/01/2008,32,,,,,,,,,,,,,,,
14/01/2008,49,,,,,,,,,,,,,,,
21/01/2008,24,,,,,,,,,,,,,,,
28/01/2008,46,,,,,,,,,,,,,,,
04/02/2008,35,,,,,,,,,,,,,,,
11/02/2008,47,,,,,,,,,,,,,,,
18/02/2008,48,,,,,,,,,,,,,,,
25/02/2008,49,,,,,,,,,,,,,,,
03/03/2008,40,,,,,,,,,,,,,,,
10/03/2008,64,,,,,,,,,,,,,,,
17/03/2008,45,,,,,,,,,,,,,,,
24/03/2008,46,,,,,,,,,,,,,,,
31/03/2008,60,,,,,,,,,,,,,,,
07/04/2008,58,,,,,,,,,,,,,,,
14/04/2008,54,,,,,,,,,,,,,,,
21/04/2008,54,,,,,,,,,,,,,,,
26/05/2008,51,,,,,,,,,,,,,,,
02/06/2008,47,,,,,,,,,,,,,,,
09/06/2008,48,,,,,,,,,,,,,,,
16/06/2008,43,,,,,,,,,,,,,,,
23/06/2008,51,,,,,,,,,,,,,,,
30/06/2008,46,,,,,,,,,,,,,,,
07/07/2008,18,,,,,,,,,,,,,,,
14/07/2008,17,,,,,,,,,,,,,,,
21/07/2008,17,,,,,,,,,,,,,,,
28/07/2008,30,,,,,,,,,,,,,,,
04/08/2008,17,,,,,,,,,,,,,,,
11/08/2008,48,,,,,,,,,,,,,,,
18/08/2008,39,,,,,,,,,,,,,,,
25/08/2008,54,,,,,,,,,,,,,,,
01/09/2008,41,,,,,,,,,,,,,,,
08/09/2008,53,,,,,,,,,,,,,,,
15/09/2008,51,,,,,,,,,,,,,,,
22/09/2008,58,,,,,,,,,,,,,,,
29/09/2008,56,,,,,,,,,,,,,,,
06/10/2008,60,,,,,,,,,,,,,,,
13/10/2008,57,,,,,,,,,,,,,,,
20/10/2008,60,,,,,,,,,,,,,,,
27/10/2008,52,,,,,,,,,,,,,,,
03/11/2008,56,,,,,,,,,,,,,,,
10/11/2008,53,,,,,,,,,,,,,,,
17/11/2008,61,,,,,,,,,,,,,,,
24/11/2008,45,,,,,,,,,,,,,,,
01/12/2008,50,,,,,,,,,,,,,,,
08/12/2008,49,,,,,,,,,,,,,,,
15/12/2008,46,,,,,,,,,,,,,,,
22/12/2008,46,,,,,,,,,,,,,,,
29/12/2008,32,,,,,,,,,,,,,,,
05/01/2009,48,,,,,,,,,,,,,,,
12/01/2009,46,,,,,,,,,,,,,,,
19/01/2009,46,,,,,,,,,,,,,,,
26/01/2009,47,,,,,,,,,,,,,,,
02/02/2009,40,,,,,,,,,,,,,,,
09/02/2009,45,,,,,,,,,,,,,,,
16/02/2009,39,,,,,,,,,,,,,,,
23/02/2009,58,,,,,,,,,,,,,,,
02/03/2009,52,,,,,,,,,,,,,,,
09/03/2009,58,,,,,,,,,,,,,,,
16/03/2009,49,,,,,,,,,,,,,,,
23/03/2009,52,,,,,,,,,,,,,,,
30/03/2009,60,,,,,,,,,,,,,,,
06/04/2009,48,,,,,,,,,,,,,,,
13/04/2009,46,,,,,,,,,,,,,,,
20/04/2009,57,,,,,,,,,,,,,,,
27/04/2009,57,,,,,,,,,,,,,,,
04/05/2009,57,,,,,,,,,,,,,,,
11/05/2009,62,,,,,,,,,,,,,,,
18/05/2009,58,,,,,,,,,,,,,,,
25/05/2009,54,,,,,,,,,,,,,,,
01/06/2009,57,,,,,,,,,,,,,,,
08/06/2009,61,,,,,,,,,,,,,,,
15/06/2009,60,,,,,,,,,,,,,,,
22/06/2009,56,,,,,,,,,,,,,,,
29/06/2009,44,,,,,,,,,,,,,,,
06/07/2009,48,,,,,,,,,,,,,,,
13/07/2009,50,,,,,,,,,,,,,,,
20/07/2009,59,,,,,,,,,,,,,,,
27/07/2009,55,,,,,,,,,,,,,,,
03/08/2009,56,,,,,,,,,,,,,,,
10/08/2009,39,,,,,,,,,,,,,,,
17/08/2009,39,,,,,,,,,,,,,,,
24/08/2009,42,,,,,,,,,,,,,,,
31/08/2009,46,,,,,,,,,,,,,,,
07/09/2009,55,,,,,,,,,,,,,,,
14/09/2009,53,,,,,,,,,,,,,,,
21/09/2009,50,,,,,,,,,,,,,,,
28/09/2009,52,,,,,,,,,,,,,,,
05/10/2009,60,,,,,,,,,,,,,,,
12/10/2009,61,,,,,,,,,,,,,,,
19/10/2009,55,,,,,,,,,,,,,,,
26/10/2009,46,,,,,,,,,,,,,,,
02/11/2009,55,,,,,,,,,,,,,,,
09/11/2009,56,,,,,,,,,,,,,,,
16/11/2009,43,,,,,,,,,,,,,,,
23/11/2009,57,,,,,,,,,,,,,,,
30/11/2009,47,,,,,,,,,,,,,,,
07/12/2009,49,,,,,,,,,,,,,,,
14/12/2009,47,,,,,,,,,,,,,,,
21/12/2009,46,,,,,,,,,,,,,,,
28/12/2009,30,,,,,,,,,,,,,,,
04/01/2010,39,,,,,,,,,,,,,,,
11/01/2010,39,,,,,,,,,,,,,,,
18/01/2010,41,,,,,,,,,,,,,,,
25/01/2010,40,,,,,,,,,,,,,,,
01/02/2010,51,,,,,,,,,,,,,,,
08/02/2010,48,,,,,,,,,,,,,,,
15/02/2010,44,,,,,,,,,,,,,,,
22/02/2010,41,,,,,,,,,,,,,,,
01/03/2010,38,,,,,,,,,,,,,,,
08/03/2010,45,,,,,,,,,,,,,,,
15/03/2010,47,,,,,,,,,,,,,,,
22/03/2010,47,,,,,,,,,,,,,,,
29/03/2010,49,,,,,,,,,,,,,,,
05/04/2010,54,,,,,,,,,,,,,,,
12/04/2010,48,,,,,,,,,,,,,,,
19/04/2010,53,,,,,,,,,,,,,,,
26/04/2010,39,,,,,,,,,,,,,,,
03/05/2010,30,,,,,,,,,,,,,,,
10/05/2010,40,,,,,,,,,,,,,,,
17/05/2010,30,,,,,,,,,,,,,,,
24/05/2010,33,,,,,,,,,,,,,,,
31/05/2010,43,,,,,,,,,,,,,,,
07/06/2010,40,,,,,,,,,,,,,,,
14/06/2010,39,,,,,,,,,,,,,,,
21/06/2010,26,,,,,,,,,,,,,,,
28/06/2010,33,,,,,,,,,,,,,,,
05/07/2010,34,,,,,,,,,,,,,,,
12/07/2010,23,,,,,,,,,,,,,,,
19/07/2010,26,,,,,,,,,,,,,,,
26/07/2010,33,,,,,,,,,,,,,,,
02/08/2010,38,,,,,,,,,,,,,,,
09/08/2010,28,,,,,,,,,,,,,,,
16/08/2010,14,,,,,,,,,,,,,,,
23/08/2010,34,,,,,,,,,,,,,,,
30/08/2010,35,,,,,,,,,,,,,,,
06/09/2010,35,,,,,,,,,,,,,,,
13/09/2010,30,,,,,,,,,,,,,,,
20/09/2010,33,,,,,,,,,,,,,,,
27/09/2010,37,,,,,,,,,,,,,,,
04/10/2010,41,,,,,,,,,,,,,,,
